nombre,hidratos_por_100g,fuente,nota
Arroz blanco hervido,25.0,librito,peso cocido aprox. (peso crudo)
Arroz integral hervido,25.0,librito,
Arroz a la cubana,16.0,librito,peso cocido aprox. (peso crudo)
Pan blanco,50.0,librito,barra 1/4
Pan integral,42.0,librito,
Bastoncitos de pan,66.7,librito,
Tostada pan blanco,66.7,librito,
Pan de molde,48.0,librito,rebanada pequeña
Pan de pueblo,50.0,librito,
Tortita arroz integral,86.7,librito,
Krisprolls,68.0,librito,dato de tabla biscote
Cereales de desayuno,78.0,librito,
Copos de avena,60.0,librito,
Cereales Special K,66.7,librito,vaso 500 ml (1/4 altura)
Cereales Choco Crispies,80.0,librito,vaso 500 ml (1/4 altura)
Cereales Chocos/Coco Pops,80.0,librito,vaso 500 ml (1/4 altura)
Muesli,66.7,librito,vaso 500 ml (1/4 altura)
Galletas María,66.7,librito,
Galletas rellenas de chocolate,66.7,librito,
Milka Choco Biscuit,64.0,librito,
Biscote canapé,70.0,librito,
Biscote integral,65.6,librito,
Biscote mini tosta,75.0,librito,"errata del librito: HC 1,5 g (no 7,5 g)"
Biscote chapada,68.3,librito,
Biscote tostada canapé,72.7,librito,
Biscote blanco,73.3,librito,
Pasta cocida (espagueti),20.0,librito,peso cocido aprox. (peso crudo)
Pasta integral cocida,23.0,librito,
Macarrones hervidos,20.0,librito,peso cocido aprox. (peso crudo)
Macarrones con salsa de tomate,17.3,librito,peso cocido aprox. (peso crudo)
Espaguetis con salsa de tomate,17.3,librito,peso cocido aprox. (peso crudo)
Patata cocida,20.0,librito,peso cocido y crudo
Patata asada,21.0,librito,
Puré de patata,14.0,librito,
Boniato cocido,20.0,librito,
Patatas fritas,33.3,librito,
Patatas chips,50.0,librito,bolsa pequeña
Lentejas cocidas,20.0,librito,peso cocido aprox. (peso crudo)
Garbanzos cocidos,20.0,librito,peso cocido aprox. (peso crudo)
Judías blancas cocidas,20.0,librito,peso cocido aprox. (peso crudo)
Guisantes hervidos,10.0,librito,"peso cocido, congelado, crudo y en conserva"
Alcachofas,3.3,librito,
Coliflor,3.3,librito,
Ensalada verde,3.3,librito,
Ensalada mixta,6.7,librito,
Judía verde,5.0,librito,
Tomate,3.3,librito,
Manzana,10.0,librito,peso neto sin piel
Plátano,20.0,librito,peso neto sin piel
Naranja,10.0,librito,peso neto sin piel
Pera,10.0,librito,peso neto sin piel
Uvas,20.0,librito,peso neto sin piel
Sandía,6.7,librito,peso neto sin piel
Melón,5.0,librito,peso neto sin piel
Fresas,6.7,librito,peso neto sin piel
Kiwi,10.0,librito,peso neto sin piel
Melocotón,7.7,librito,peso neto sin piel
Piña,10.0,librito,peso neto sin piel
Higos,12.5,librito,peso neto sin piel
Mandarina,10.0,librito,peso neto sin piel
Macedonia,20.0,librito,
Cerezas,13.0,librito,
Mango,15.0,librito,
Leche entera,4.7,librito,
Leche desnatada,5.0,librito,
Leche semidesnatada,4.6,librito,
Yogur natural,4.0,librito,entero sin azúcar
Yogur de sabores,12.0,librito,entero
Yogur natural azúcarado,12.0,librito,
Yogur desnatado natural,4.4,librito,
Yogur desnatado con frutas,8.6,librito,
Queso fresco natural,3.3,librito,
Quesito en porciones,5.5,librito,
Queso manchego semi,1.5,librito,
Queso en lonchas,3.8,librito,
Flan de huevo,20.0,librito,
Natillas,20.0,librito,
Actimel,10.6,librito,
Petit suisse,18.2,librito,
Almendras,6.7,librito,
Avellanas,7.1,librito,
Nueces,3.3,librito,
Aceitunas rellenas de anchoas,0.1,librito,
Quicos (maíz frito),66.7,librito,
Palomitas,66.7,librito,
Paella mixta,16.0,librito,
Tortilla de patatas casera,10.0,librito,
Croquetas,21.1,librito,
Empanadillas,25.0,librito,
Calamares romana,8.3,librito,
Pizza jamón y queso,25.0,librito,pizza congelada
Hamburguesa fast food,17.9,librito,
Ketchup,25.0,librito,
Canelones con bechamel,10.8,librito,3 unidades
Raviolis cocidos,26.0,librito,
Sushi roll,28.0,librito,pieza pequeña/grande
Doner kebab,17.1,librito,pan grueso pequeño
Durum kebab,10.0,librito,masa fina
Salmorejo,9.4,librito,peso cocido aprox.
Chiretas rebozadas,21.1,librito,peso cocido aprox.
